CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
SCE,Oriol Pauli,Forward,2.01,20/05/1994,Spain,http://www.acb.com/jugador.php?id=SCE
1KW,Adam Waczynski,Forward,1.99,15/10/1989,Poland,http://www.acb.com/jugador.php?id=1KW
UAD,Marc Garcia,Guard,1.97,07/03/1996,Spain,http://www.acb.com/jugador.php?id=UAD
1L5,Will Thomas,Center,2.03,01/07/1986,Georgia,http://www.acb.com/jugador.php?id=1L5
2A3,Thomas Schreiner,Guard,1.95,03/02/1987,Austria,http://www.acb.com/jugador.php?id=2A3
11Z,Borja Mendia,Forward,1.99,10/11/1994,Spain,http://www.acb.com/jugador.php?id=11Z
UAE,Ludde Hakanson,Guard,1.90,22/03/1996,Sweden,http://www.acb.com/jugador.php?id=UAE
2B8,Davin White,Guard,1.85,31/12/1981,United States,http://www.acb.com/jugador.php?id=2B8
2A5,Guillem Colom,Guard,1.95,16/09/1991,Andorra,http://www.acb.com/jugador.php?id=2A5
XGT,Morayo Soluade,Guard,1.96,12/07/1995,United Kingdom,http://www.acb.com/jugador.php?id=XGT
XDP,Xabi Oroz,Forward,1.92,19/01/1996,Spain,http://www.acb.com/jugador.php?id=XDP
2FY,Nemanja Nedovic,Guard,1.91,16/06/1991,Serbia,http://www.acb.com/jugador.php?id=2FY
2IR,Sasu Salin,Guard,1.90,11/06/1991,Finland,http://www.acb.com/jugador.php?id=2IR
1BG,Tadas Sedekerskis,Forward,2.00,17/01/1998,Lithuania,http://www.acb.com/jugador.php?id=1BG
2IW,DJ Seeley,Guard,1.93,28/11/1989,United States,http://www.acb.com/jugador.php?id=2IW
460,Luka Doncic,Guard,2.00,28/02/1999,Slovenia,http://www.acb.com/jugador.php?id=460
FOS,A. Vezenkov,Center,2.06,08/08/1995,Bulgaria,http://www.acb.com/jugador.php?id=FOS
FQH,Anzejs Pasecniks,Center,2.16,20/12/1995,Latvia,http://www.acb.com/jugador.php?id=FQH
FOI,Tim Abromaitis,Center,2.03,17/09/1989,United States,http://www.acb.com/jugador.php?id=FOI
FQ1,Trey Thompkins,Center,2.08,29/05/1990,United States,http://www.acb.com/jugador.php?id=FQ1
FOX,Vitor Benite,Guard,1.94,20/02/1990,Italy,http://www.acb.com/jugador.php?id=FOX
FPO,Donnie McGrath,Guard,1.93,07/05/1984,Ireland,http://www.acb.com/jugador.php?id=FPO
FO1,Artem Pustovyi,Center,2.18,25/06/1992,Ukraine,http://www.acb.com/jugador.php?id=FO1
FO0,Eimantas Bendzius,Forward,2.03,23/04/1990,Lithuania,http://www.acb.com/jugador.php?id=FO0
FQF,Jaka Blazic,Forward,1.96,30/06/1990,Slovenia,http://www.acb.com/jugador.php?id=FQF
FQI,Dino Radoncic,Forward,2.02,08/01/1999,Montenegro,http://www.acb.com/jugador.php?id=FQI
8C8,Jose I. Nogues,Forward,2.04,27/07/1995,Spain,http://www.acb.com/jugador.php?id=8C8
FQ3,Jeffery Taylor,Forward,2.01,23/03/1989,Sweden,http://www.acb.com/jugador.php?id=FQ3
FO4,Alec Brown,Center,2.16,23/07/1992,United States,http://www.acb.com/jugador.php?id=FO4
D03,Danny Agbelese,Center,2.03,14/04/1990,Nigeria,http://www.acb.com/jugador.php?id=D03
D07,Jordan Swing,Forward,1.98,31/12/1990,United States,http://www.acb.com/jugador.php?id=D07
D10,Jerome Jordan,Center,2.15,29/09/1986,Jamaica,http://www.acb.com/jugador.php?id=D10
1ES,Viny Okouo,Center,2.14,10/04/1997,Congo (Brazzaville),http://www.acb.com/jugador.php?id=1ES
519,Bo McCalebb,Guard,1.81,04/05/1985,Macedonia,http://www.acb.com/jugador.php?id=519
