CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
JUG,"Ribas, Pau",Guard,1.94,02/03/1987,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=JUG&seasoncode=E2017
004535,"Garcia, Marc",Guard,1.96,07/03/1996,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=004535&seasoncode=E2017
007997,"Pressey, Phil",Guard,1.8,17/02/1991,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007997&seasoncode=E2017
005099,"Hanga, Adam",Forward,2.01,12/04/1989,Hungary,http://www.euroleague.net/competition/players/showplayer?pcode=005099&seasoncode=E2017
ADI,"Navarro, Juancarlos",Guard,1.92,13/06/1980,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=ADI&seasoncode=E2017
KLT,"Heurtel, Thomas",Guard,1.89,10/04/1989,France,http://www.euroleague.net/competition/players/showplayer?pcode=KLT&seasoncode=E2017
003469,"Vezenkov, Sasha",Forward,2.06,06/08/1995,Bulgaria,http://www.euroleague.net/competition/players/showplayer?pcode=003469&seasoncode=E2017
005917,"Oriola, Pierre",Center,2.08,25/09/1992,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=005917&seasoncode=E2017
004178,"Koponen, Petteri",Guard,1.94,13/04/1988,Finland,http://www.euroleague.net/competition/players/showplayer?pcode=004178&seasoncode=E2017
002507,"Tomic, Ante",Center,2.17,17/02/1987,Croatia,http://www.euroleague.net/competition/players/showplayer?pcode=002507&seasoncode=E2017
001833,"Moerman, Adrien",Forward,2.01,07/08/1988,France,http://www.euroleague.net/competition/players/showplayer?pcode=001833&seasoncode=E2017
006614,"Singleton, Chris",Center,2.06,21/11/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=006614&seasoncode=E2017
002429,"Rivers, Kc",Forward,1.96,01/03/1987,United States,http://www.euroleague.net/competition/players/showplayer?pcode=002429&seasoncode=E2017
000464,"Pappas, Nikos",Guard,1.95,11/07/1990,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=000464&seasoncode=E2017
004195,"Denmon, Marcus",Guard,1.91,20/03/1990,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004195&seasoncode=E2017
002980,"Gist, James",Forward,2.06,26/10/1986,United States,http://www.euroleague.net/competition/players/showplayer?pcode=002980&seasoncode=E2017
TFX,"Vougioukas, Ian",Center,2.11,31/05/1985,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=TFX&seasoncode=E2017
003210,"Lekavicius, Lukas",Guard,1.83,30/03/1994,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=003210&seasoncode=E2017
005881,"Gabriel, Kenny",Forward,2.05,03/07/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005881&seasoncode=E2017
007948,"Auguste, Zach",Center,2.08,08/07/1993,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=007948&seasoncode=E2017
003608,"Lojeski, Matt",Guard,1.98,24/07/1985,Belgium,http://www.euroleague.net/competition/players/showplayer?pcode=003608&seasoncode=E2017
001932,"Calathes, Nick",Guard,1.98,07/02/1989,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=001932&seasoncode=E2017
007865,"Antetokounmpo, Thanasis",Forward,2.01,18/07/1992,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=007865&seasoncode=E2017
008003,"Robinson, Thomas",Center,2.08,17/03/1991,United States,http://www.euroleague.net/competition/players/showplayer?pcode=008003&seasoncode=E2017
KVZ,"Shved, Alexey",Guard,1.98,16/12/1988,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=KVZ&seasoncode=E2017
BGV,"Vialtsev, Egor",Forward,1.93,10/10/1985,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=BGV&seasoncode=E2017
001792,"Zaytsev, Vyacheslav",Guard,1.9,28/08/1989,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=001792&seasoncode=E2017
LME,"Markovic, Stefan",Guard,1.98,25/04/1988,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=LME&seasoncode=E2017
BFX,"Monia, Sergey",Forward,2.02,15/04/1983,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=BFX&seasoncode=E2017
008001,"Gill, Anthony",Forward,2.04,17/10/1992,United States,http://www.euroleague.net/competition/players/showplayer?pcode=008001&seasoncode=E2017
001612,"Todorovic, Marko",Center,2.1,19/04/1992,Montenegro,http://www.euroleague.net/competition/players/showplayer?pcode=001612&seasoncode=E2017
