competition,player_id,player_name,appearances,first_date,last_date,mean_minutes,mean_pir
acb,tavares w.||acb,"Tavares, W.",10,2017-11-12,2018-01-21,21.073333333333334,11.5
acb,taylor jeffery||acb,"Taylor, Jeffery",15,2017-10-01,2018-01-21,16.065555555555555,4.6
acb,thomas devin||acb,"Thomas, Devin",8,2017-12-03,2018-01-21,19.108333333333334,13.125
acb,thomas matt||acb,"Thomas, Matt",16,2017-09-30,2018-01-21,27.36145833333333,14.5
acb,thomas will||acb,"Thomas, Will",17,2017-10-01,2018-01-21,24.526470588235295,9.470588235294118
acb,thompkins trey||acb,"Thompkins, Trey",12,2017-10-01,2018-01-21,19.808333333333334,8.416666666666666
acb,thompson deon||acb,"Thompson, Deon",17,2017-10-01,2018-01-21,27.94313725490196,14.823529411764707
acb,timma janis||acb,"Timma, Janis",16,2017-09-29,2018-01-21,24.407291666666666,7.1875
acb,tobey mike||acb,"Tobey, Mike",16,2017-10-01,2018-01-21,19.440625,11.3125
acb,todorovic dejan||acb,"Todorovic, Dejan",17,2017-09-30,2018-01-21,25.106862745098038,10.117647058823529
acb,tomas pere||acb,"Tomas, Pere",17,2017-09-30,2018-01-21,19.531372549019608,7.9411764705882355
acb,tomic ante||acb,"Tomic, Ante",14,2017-10-15,2018-01-21,14.596428571428572,10.5
acb,triguero j.||acb,"Triguero, J.",17,2017-09-30,2018-01-21,3.288235294117647,1.1176470588235294
acb,tumba kevin||acb,"Tumba, Kevin",17,2017-10-01,2018-01-21,18.064705882352943,5.470588235294118
acb,tvalabeishvili g.||acb,"Tvalabeishvili, G.",1,2018-01-06,2018-01-06,0.0,0.0
acb,uriz mikel||acb,"Uriz, Mikel",17,2017-10-01,2018-01-21,10.766666666666666,4.294117647058823
acb,urtasun alex||acb,"Urtasun, Alex",15,2017-10-01,2018-01-21,14.645555555555555,3.1333333333333333
acb,urtasun txemi||acb,"Urtasun, Txemi",4,2017-12-30,2018-01-21,6.8125,-1.25
acb,van lacke fede||acb,"Van Lacke, Fede",17,2017-10-01,2018-01-21,23.528431372549022,8.411764705882353
acb,van rossom sam||acb,"Van Rossom, Sam",17,2017-10-01,2018-01-21,22.279411764705884,10.529411764705882
acb,vargas gregory||acb,"Vargas, Gregory",17,2017-09-30,2018-01-21,22.275490196078433,4.235294117647059
acb,varnado jarvis||acb,"Varnado, Jarvis",17,2017-09-30,2018-01-21,21.442156862745097,10.823529411764707
