Number,GS,Player,MP,PTS,TwoP,TwoPA,TwoPPerc,ThreeP,ThreePA,ThreePPerc,FT,FTA,FTPerc,TRB,DRB,ORB,AST,STL,TOV,Counteratt,BLKfv,BLKag,Dunks,PF,PFrv,PlusMinus,PIR,Season,Type_season,Day,Date,Game,GameRes,Team,GameID,Website,CombinID,competition,MP_min,match_id,player_name_norm,player_id
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,-2,2017-18,Regular Season,Round 14,2017-12-22,cska moscow-khimki moscow region,79-68,0,111,http://www.euroleague.net/main/results/showgame?gamecode=111&seasoncode=E2017,,euroleague,0.0,2017-12-22||cska moscow-khimki moscow region,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,7,2,5,0,0,0,0,0,0,0,0,0,0,7,2017-18,Regular Season,Round 14,2017-12-22,cska moscow-khimki moscow region,79-68,Khimki,111,http://www.euroleague.net/main/results/showgame?gamecode=111&seasoncode=E2017,,euroleague,0.0,2017-12-22||cska moscow-khimki moscow region,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,2017-18,Regular Season,Round 14,2017-12-22,unicaja malaga-ax armani exchange olimpia milan,74-71,0,112,http://www.euroleague.net/main/results/showgame?gamecode=112&seasoncode=E2017,,euroleague,0.0,2017-12-22||unicaja malaga-ax armani exchange olimpia milan,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 14,2017-12-22,unicaja malaga-ax armani exchange olimpia milan,74-71,Milan,112,http://www.euroleague.net/main/results/showgame?gamecode=112&seasoncode=E2017,,euroleague,0.0,2017-12-22||unicaja malaga-ax armani exchange olimpia milan,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,1,0,0,0,0,0,0,0,0,0,0,4,2017-18,Regular Season,Round 15,2017-12-28,fenerbahce dogus istanbul-real madrid,77-79,0,113,http://www.euroleague.net/main/results/showgame?gamecode=113&seasoncode=E2017,,euroleague,0.0,2017-12-28||fenerbahce dogus istanbul-real madrid,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2017-18,Regular Season,Round 15,2017-12-28,fenerbahce dogus istanbul-real madrid,77-79,Real_Madrid,113,http://www.euroleague.net/main/results/showgame?gamecode=113&seasoncode=E2017,,euroleague,0.0,2017-12-28||fenerbahce dogus istanbul-real madrid,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,1,3,0,0,1,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 15,2017-12-28,maccabi fox tel aviv-unicaja malaga,78-89,0,114,http://www.euroleague.net/main/results/showgame?gamecode=114&seasoncode=E2017,,euroleague,0.0,2017-12-28||maccabi fox tel aviv-unicaja malaga,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,6,2,4,0,0,0,0,0,0,0,0,0,0,6,2017-18,Regular Season,Round 15,2017-12-28,maccabi fox tel aviv-unicaja malaga,78-89,Unicaja,114,http://www.euroleague.net/main/results/showgame?gamecode=114&seasoncode=E2017,,euroleague,0.0,2017-12-28||maccabi fox tel aviv-unicaja malaga,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,2017-18,Regular Season,Round 15,2017-12-28,valencia basket-panathinaikos superfoods athens,67-63,0,115,http://www.euroleague.net/main/results/showgame?gamecode=115&seasoncode=E2017,,euroleague,0.0,2017-12-28||valencia basket-panathinaikos superfoods athens,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0,0,0,2,0,0,0,0,0,0,0,-1,2017-18,Regular Season,Round 15,2017-12-28,valencia basket-panathinaikos superfoods athens,67-63,Panathinaikos,115,http://www.euroleague.net/main/results/showgame?gamecode=115&seasoncode=E2017,,euroleague,0.0,2017-12-28||valencia basket-panathinaikos superfoods athens,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,2,2,0,0,0,0,0,0,0,0,0,0,4,2017-18,Regular Season,Round 15,2017-12-28,zalgiris kaunas-olympiacos piraeus,74-68,0,116,http://www.euroleague.net/main/results/showgame?gamecode=116&seasoncode=E2017,,euroleague,0.0,2017-12-28||zalgiris kaunas-olympiacos piraeus,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,8,5,3,0,0,1,0,0,0,0,0,0,0,7,2017-18,Regular Season,Round 15,2017-12-28,zalgiris kaunas-olympiacos piraeus,74-68,Olympiakos,116,http://www.euroleague.net/main/results/showgame?gamecode=116&seasoncode=E2017,,euroleague,0.0,2017-12-28||zalgiris kaunas-olympiacos piraeus,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,2,1,0,0,1,0,0,0,0,0,0,0,2,2017-18,Regular Season,Round 15,2017-12-29,anadolu efes istanbul-brose bamberg,69-58,0,117,http://www.euroleague.net/main/results/showgame?gamecode=117&seasoncode=E2017,,euroleague,0.0,2017-12-29||anadolu efes istanbul-brose bamberg,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,2,0,0,1,0,0,0,0,0,0,0,2,2017-18,Regular Season,Round 15,2017-12-29,anadolu efes istanbul-brose bamberg,69-58,Bamberg,117,http://www.euroleague.net/main/results/showgame?gamecode=117&seasoncode=E2017,,euroleague,0.0,2017-12-29||anadolu efes istanbul-brose bamberg,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,2,2,0,0,1,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 15,2017-12-29,baskonia vitoria gasteiz-cska moscow,81-90,0,118,http://www.euroleague.net/main/results/showgame?gamecode=118&seasoncode=E2017,,euroleague,0.0,2017-12-29||baskonia vitoria gasteiz-cska moscow,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2017-18,Regular Season,Round 15,2017-12-29,baskonia vitoria gasteiz-cska moscow,81-90,CSKA,118,http://www.euroleague.net/main/results/showgame?gamecode=118&seasoncode=E2017,,euroleague,0.0,2017-12-29||baskonia vitoria gasteiz-cska moscow,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,2,0,0,0,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 15,2017-12-29,ax armani exchange olimpia milan-crvena zvezda mts belgrade,88-91,0,119,http://www.euroleague.net/main/results/showgame?gamecode=119&seasoncode=E2017,,euroleague,0.0,2017-12-29||ax armani exchange olimpia milan-crvena zvezda mts belgrade,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,2,0,0,1,0,0,0,0,0,0,0,2,2017-18,Regular Season,Round 15,2017-12-29,ax armani exchange olimpia milan-crvena zvezda mts belgrade,88-91,Crvena_Zvezda_Belgrade,119,http://www.euroleague.net/main/results/showgame?gamecode=119&seasoncode=E2017,,euroleague,0.0,2017-12-29||ax armani exchange olimpia milan-crvena zvezda mts belgrade,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 15,2017-12-29,khimki moscow region-fc barcelona lassa,65-79,0,120,http://www.euroleague.net/main/results/showgame?gamecode=120&seasoncode=E2017,,euroleague,0.0,2017-12-29||khimki moscow region-fc barcelona lassa,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2017-18,Regular Season,Round 15,2017-12-29,khimki moscow region-fc barcelona lassa,65-79,FC_Barcelona,120,http://www.euroleague.net/main/results/showgame?gamecode=120&seasoncode=E2017,,euroleague,0.0,2017-12-29||khimki moscow region-fc barcelona lassa,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,1,0,0,1,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 16,2018-01-04,panathinaikos superfoods athens-anadolu efes istanbul,90-79,0,121,http://www.euroleague.net/main/results/showgame?gamecode=121&seasoncode=E2017,,euroleague,0.0,2018-01-04||panathinaikos superfoods athens-anadolu efes istanbul,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,8,3,5,0,0,1,0,0,0,0,0,0,0,7,2017-18,Regular Season,Round 16,2018-01-04,panathinaikos superfoods athens-anadolu efes istanbul,90-79,Efes_Pilsen,121,http://www.euroleague.net/main/results/showgame?gamecode=121&seasoncode=E2017,,euroleague,0.0,2018-01-04||panathinaikos superfoods athens-anadolu efes istanbul,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 16,2018-01-04,unicaja malaga-valencia basket,83-85,0,122,http://www.euroleague.net/main/results/showgame?gamecode=122&seasoncode=E2017,,euroleague,0.0,2018-01-04||unicaja malaga-valencia basket,team,team||euroleague
