competition,player_name_norm,rows,written_variants,variants
acb,pressey phil,17,1,"Pressey, Phil"
acb,pustovyi artem,17,1,"Pustovyi, Artem"
acb,radovic nemanja,17,1,"Radovic, Nemanja"
acb,reyes felipe,17,1,"Reyes, Felipe"
acb,ribas pau,17,1,"Ribas, Pau"
acb,rojas sadiel,17,1,"Rojas, Sadiel"
acb,rupnik luka,17,1,"Rupnik, Luka"
acb,sabat albert,17,1,"Sabat, Albert"
acb,saiz sebas,17,1,"Saiz, Sebas"
acb,salgado javier,17,1,"Salgado, Javier"
acb,salin sasu,17,1,"Salin, Sasu"
acb,salvo miquel,17,1,"Salvo, Miquel"
acb,san miguel r.,17,1,"San Miguel, R."
acb,sanchez a.,17,1,"Sanchez, A."
acb,savane sitapha,17,1,"Savane, Sitapha"
acb,schreiner thomas,17,1,"Schreiner, Thomas"
acb,seeley dj,17,1,"Seeley, DJ"
acb,sekulic blagota,17,1,"Sekulic, Blagota"
acb,shermadini giorgi,17,1,"Shermadini, Giorgi"
acb,shurna john,17,1,"Shurna, John"
acb,simons benjamin,17,1,"Simons, Benjamin"
acb,smits rolands,17,1,"Smits, Rolands"
acb,soko ovie,17,1,"Soko, Ovie"
acb,stevic oliver,17,1,"Stevic, Oliver"
acb,suarez alex,17,1,"Suarez, Alex"
acb,suarez carlos,17,1,"Suarez, Carlos"
acb,suton goran,17,1,"Suton, Goran"
acb,swing jordan,17,1,"Swing, Jordan"
acb,thomas will,17,1,"Thomas, Will"
acb,thompson deon,17,1,"Thompson, Deon"
acb,todorovic dejan,17,1,"Todorovic, Dejan"
acb,tomas pere,17,1,"Tomas, Pere"
acb,triguero j.,17,1,"Triguero, J."
acb,tumba kevin,17,1,"Tumba, Kevin"
acb,uriz mikel,17,1,"Uriz, Mikel"
acb,van lacke fede,17,1,"Van Lacke, Fede"
acb,van rossom sam,17,1,"Van Rossom, Sam"
acb,vargas gregory,17,1,"Vargas, Gregory"
acb,varnado jarvis,17,1,"Varnado, Jarvis"
acb,vazquez fran,17,1,"Vazquez, Fran"
acb,vega javier,17,1,"Vega, Javier"
acb,ventura albert,17,1,"Ventura, Albert"
acb,vicedo edgar,17,1,"Vicedo, Edgar"
acb,vidal sergi,17,1,"Vidal, Sergi"
acb,voigtmann j.,17,1,"Voigtmann, J."
acb,waczynski adam,17,1,"Waczynski, Adam"
acb,walker david,17,1,"Walker, David"
euroleague,bertans dairis,17,1,"Bertans, Dairis"
euroleague,bogris georgios,17,1,"Bogris, Georgios"
euroleague,brooks jeff,17,1,"Brooks, Jeff"
euroleague,cole norris,17,1,"Cole, Norris"
euroleague,diez daniel,17,1,"Diez, Daniel"
euroleague,gill anthony,17,1,"Gill, Anthony"
euroleague,green erick,17,1,"Green, Erick"
euroleague,hackett daniel,17,1,"Hackett, Daniel"
euroleague,jankovic stefan,17,1,"Jankovic, Stefan"
euroleague,lojeski matt,17,1,"Lojeski, Matt"
euroleague,mantzaris vangelis,17,1,"Mantzaris, Vangelis"
euroleague,pressey phil,17,1,"Pressey, Phil"
euroleague,roberts brian,17,1,"Roberts, Brian"
euroleague,taylor jeffery,17,1,"Taylor, Jeffery"
euroleague,thomas deshaun,17,1,"Thomas, Deshaun"
euroleague,toliopoulos vassilis,17,1,"Toliopoulos, Vassilis"
euroleague,valinskas paulius,17,1,"Valinskas, Paulius"
euroleague,zisis nikos,17,1,"Zisis, Nikos"
euroleague,zoosman yovel,17,1,"Zoosman, Yovel"
acb,baez eulis,16,1,"Baez, Eulis"
acb,beaubois rodrigue,16,1,"Beaubois, Rodrigue"
acb,birgander simon,16,1,"Birgander, Simon"
acb,carroll jaycee,16,1,"Carroll, Jaycee"
acb,causeur fabien,16,1,"Causeur, Fabien"
acb,cvetkovic a.,16,1,"Cvetkovic, A."
acb,diagne moussa,16,1,"Diagne, Moussa"
acb,doncic luka,16,1,"Doncic, Luka"
acb,eriksson marcus,16,1,"Eriksson, Marcus"
acb,fischer ricardo,16,1,"Fischer, Ricardo"
acb,gladness mickell,16,1,"Gladness, Mickell"
acb,green erick,16,1,"Green, Erick"
acb,heurtel thomas,16,1,"Heurtel, Thomas"
acb,hlinason t.,16,1,"Hlinason, T."
acb,janning matt,16,1,"Janning, Matt"
acb,kulvietis saulius,16,1,"Kulvietis, Saulius"
acb,landesberg sylven,16,1,"Landesberg, Sylven"
acb,llorca alex,16,1,"Llorca, Alex"
acb,navarro j.c.,16,1,"Navarro, J.C."
acb,oliver albert,16,1,"Oliver, Albert"
acb,oroz xabi,16,1,"Oroz, Xabi"
acb,pauli oriol,16,1,"Pauli, Oriol"
acb,rabaseda xavi,16,1,"Rabaseda, Xavi"
acb,redivo lucio,16,1,"Redivo, Lucio"
acb,richard patrick,16,1,"Richard, Patrick"
acb,schilb blake,16,1,"Schilb, Blake"
acb,shengelia t.,16,1,"Shengelia, T."
acb,thomas matt,16,1,"Thomas, Matt"
acb,timma janis,16,1,"Timma, Janis"
acb,tobey mike,16,1,"Tobey, Mike"
acb,vucetic vasilije,16,1,"Vucetic, Vasilije"
acb,white davin,16,1,"White, Davin"
acb,yusta santiago,16,1,"Yusta, Santiago"
euroleague,abalde alberto,16,1,"Abalde, Alberto"
euroleague,adams josh,16,1,"Adams, Josh"
euroleague,bitim onuralp,16,1,"Bitim, Onuralp"
euroleague,calathes nick,16,1,"Calathes, Nick"
euroleague,cinciarini andrea,16,1,"Cinciarini, Andrea"
euroleague,dangubic nemanja,16,1,"Dangubic, Nemanja"
euroleague,dobric ognjen,16,1,"Dobric, Ognjen"
euroleague,dubljevic bojan,16,1,"Dubljevic, Bojan"
euroleague,duverioglu ahmet,16,1,"Duverioglu, Ahmet"
euroleague,hlinason tryggvi,16,1,"Hlinason, Tryggvi"
euroleague,hunter othello,16,1,"Hunter, Othello"
euroleague,milosavljevic dragan,16,1,"Milosavljevic, Dragan"
euroleague,nedovic nemanja,16,1,"Nedovic, Nemanja"
euroleague,nunnally james,16,1,"Nunnally, James"
euroleague,printezis georgios,16,1,"Printezis, Georgios"
euroleague,segev itay,16,1,"Segev, Itay"
euroleague,seraphin kevin,16,1,"Seraphin, Kevin"
euroleague,wright dorell,16,1,"Wright, Dorell"
acb,beiran javier,15,1,"Beiran, Javier"
acb,caner-medleyn.,15,1,"Caner-Medley,N."
acb,gonzalez jose m.,15,1,"Gonzalez, Jose M."
acb,jankovic vladimir,15,1,"Jankovic, Vladimir"
acb,lopez-arostegui x,15,1,"Lopez-Arostegui, X"
acb,mazalin lovro,15,1,"Mazalin, Lovro"
acb,moerman adrien,15,1,"Moerman, Adrien"
acb,olaizola julen,15,1,"Olaizola, Julen"
acb,oriola pierre,15,1,"Oriola, Pierre"
acb,ponitka mateusz,15,1,"Ponitka, Mateusz"
acb,richotti nicolas,15,1,"Richotti, Nicolas"
acb,taylor jeffery,15,1,"Taylor, Jeffery"
acb,urtasun alex,15,1,"Urtasun, Alex"
euroleague,antic pero,15,1,"Antic, Pero"
euroleague,claver victor,15,1,"Claver, Victor"
euroleague,davidovac dejan,15,1,"Davidovac, Dejan"
euroleague,fernandez rudy,15,1,"Fernandez, Rudy"
euroleague,jefferson cory,15,1,"Jefferson, Cory"
euroleague,milutinov nikola,15,1,"Milutinov, Nikola"
euroleague,musli dejan,15,1,"Musli, Dejan"
euroleague,radicevic nikola,15,1,"Radicevic, Nikola"
euroleague,rudez damjan,15,1,"Rudez, Damjan"
euroleague,vorontsevich andrey,15,1,"Vorontsevich, Andrey"
euroleague,zubkov andrey,15,1,"Zubkov, Andrey"
acb,bassas ferran,14,1,"Bassas, Ferran"
acb,diez daniel,14,1,"Diez, Daniel"
acb,dubljevic bojan,14,1,"Dubljevic, Bojan"
acb,gudul omari,14,1,"Gudul, Omari"
acb,mcgrath donnie,14,1,"McGrath, Donnie"
acb,neal gary,14,1,"Neal, Gary"
acb,pardina joan,14,1,"Pardina, Joan"
acb,randle chasson,14,1,"Randle, Chasson"
acb,seraphin kevin,14,1,"Seraphin, Kevin"
acb,tabu jonathan,14,1,"Tabu, Jonathan"
acb,tomic ante,14,1,"Tomic, Ante"
euroleague,batuk birkan,14,1,"Batuk, Birkan"
euroleague,cusin marco,14,1,"Cusin, Marco"
euroleague,goudelock andrew,14,1,"Goudelock, Andrew"
euroleague,masiulis gytis,14,1,"Masiulis, Gytis"
euroleague,olinde louis,14,1,"Olinde, Louis"
euroleague,thompkins trey,14,1,"Thompkins, Trey"
acb,aguilar pablo,13,1,"Aguilar, Pablo"
acb,diop ilimane,13,1,"Diop, Ilimane"
acb,fernandez rudy,13,1,"Fernandez, Rudy"
acb,karnowski przemek,13,1,"Karnowski, Przemek"
acb,martin alberto,13,1,"Martin, Alberto"
acb,martinez ivan,13,1,"Martinez, Ivan"
acb,radoncic dino,13,1,"Radoncic, Dino"
acb,vildoza luca,13,1,"Vildoza, Luca"
acb,wayns maalik,13,1,"Wayns, Maalik"
eurocup,arar ege,13,1,"Arar, Ege"
eurocup,aydin serkan,13,1,"Aydin, Serkan"
eurocup,baez eulis,13,1,"Baez, Eulis"
eurocup,balvin ondrej,13,1,"Balvin, Ondrej"
eurocup,baron jimmy,13,1,"Baron, Jimmy"
eurocup,barthel danilo,13,1,"Barthel, Danilo"
eurocup,bell james,13,1,"Bell, James"
eurocup,booker devin,13,1,"Booker, Devin"
eurocup,bouteille axel,13,1,"Bouteille, Axel"
eurocup,broekhoff ryan,13,1,"Broekhoff, Ryan"
