competition,MP_min,PIR
acb,4.25,7
acb,25.733333333333334,17
acb,25.083333333333332,7
acb,28.816666666666666,18
acb,19.516666666666666,14
acb,19.266666666666666,5
acb,28.733333333333334,11
acb,22.6,12
acb,22.633333333333333,5
acb,23.3,16
acb,11.983333333333333,1
acb,21.966666666666665,9
acb,27.55,26
acb,21.616666666666667,-1
acb,15.683333333333334,-3
acb,17.65,8
acb,23.133333333333333,11
acb,21.9,11
acb,4.45,-1
acb,15.783333333333333,-4
acb,17.516666666666666,4
acb,26.016666666666666,17
acb,14.766666666666667,8
acb,14.466666666666667,4
acb,12.016666666666667,-2
acb,19.5,1
acb,30.583333333333332,27
acb,15.4,8
acb,14.3,9
acb,7.55,8
acb,10.533333333333333,5
acb,17.766666666666666,13
acb,29.933333333333334,11
acb,17.316666666666666,17
acb,22.25,9
acb,14.6,-3
acb,17.0,10
acb,20.483333333333334,26
acb,25.033333333333335,28
acb,17.216666666666665,11
acb,23.333333333333332,19
acb,20.433333333333334,2
acb,13.15,3
acb,8.066666666666666,0
acb,25.883333333333333,14
acb,19.616666666666667,9
