fold,competition,feature,importance_mae_mean,importance_mae_std,n_test
2,eurocup,TRB_roll10,-0.005362363864168884,0.002864209907340188,237
2,eurocup,TRB_roll5,-0.0011442691426756467,0.0018752358244072337,237
2,eurocup,TS_roll10,0.07323456570166051,0.05747413185349906,237
2,eurocup,TS_roll5,0.027393394536564485,0.029286393211131453,237
2,eurocup,eFG_roll10,-0.00013918350771202626,0.005820260111536877,237
2,eurocup,eFG_roll5,0.03047472111118523,0.026526922283838343,237
2,eurocup,rest_days_player,-0.00208336119850685,0.005419732103866199,237
2,euroleague,competition,0.0,0.0,161
2,euroleague,3P_rate_roll10,0.01035722606991687,0.010872829900077,161
2,euroleague,3P_rate_roll5,0.04307597105848995,0.03020294551825014,161
2,euroleague,AST_TOV_roll10,-0.02151583521826428,0.014484700799335308,161
2,euroleague,AST_TOV_roll5,-0.00277507147537559,0.002354199006143907,161
2,euroleague,AST_roll10,0.001010326699358899,0.005055465293718949,161
2,euroleague,AST_roll5,0.003428369913639173,0.003918045212691321,161
2,euroleague,DRB_roll10,-0.007285835060745249,0.005178735677112155,161
2,euroleague,DRB_roll5,0.0,0.0,161
2,euroleague,FGA_roll10,0.03218298440502689,0.013484262999165882,161
2,euroleague,FGA_roll5,0.5073266358163714,0.09660287216907093,161
2,euroleague,FTA_roll10,-0.04001527932775382,0.04414649872705275,161
2,euroleague,FTA_roll5,0.29979249316074946,0.11459411113000251,161
2,euroleague,FT_rate_roll10,0.043379453959442316,0.019749851670749247,161
2,euroleague,FT_rate_roll5,-0.07093062172329585,0.05284758268813411,161
2,euroleague,MP_min_roll10,-0.004526569929624813,0.009103392485310047,161
2,euroleague,MP_min_roll5,0.07667753352202275,0.04193246338705417,161
2,euroleague,ORB_roll10,-0.0018626695614770484,0.014569309034988378,161
2,euroleague,ORB_roll5,0.004125573294302853,0.0036600559889326356,161
2,euroleague,PF_roll10,0.017518861283049424,0.015418989402151511,161
2,euroleague,PF_roll5,0.004099232693319799,0.0015704426207195474,161
2,euroleague,PIR_roll10,0.25203456789271106,0.09280739045732488,161
2,euroleague,PIR_roll5,0.45597191406520354,0.14784789413376503,161
2,euroleague,PTS_roll10,0.019663241461613624,0.05570760169949912,161
2,euroleague,PTS_roll5,0.2588838047968478,0.14557167703731172,161
2,euroleague,STL_roll10,-0.00444061346482485,0.011231844611791083,161
2,euroleague,STL_roll5,-0.003242459135983822,0.021047022652754682,161
2,euroleague,TOV_roll10,-0.02317217746856102,0.026142421863629133,161
2,euroleague,TOV_roll5,0.14048714948587032,0.04970147293151043,161
2,euroleague,TRB_roll10,-0.0022836891537643565,0.005333285589103968,161
2,euroleague,TRB_roll5,-0.00039413874813405415,0.002225812391114036,161
2,euroleague,TS_roll10,0.011373424703520563,0.04782970656340117,161
2,euroleague,TS_roll5,0.01401370034655649,0.03180614576428615,161
2,euroleague,eFG_roll10,0.010384659476555137,0.008232741415321201,161
2,euroleague,eFG_roll5,0.03659904122498858,0.02221768234994324,161
2,euroleague,rest_days_player,0.013553798055859012,0.00871079319867358,161
3,ALL,competition,-0.014395030623197691,0.0065326969206222,522
3,ALL,3P_rate_roll10,0.0020951876691928106,0.01328511088432594,522
3,ALL,3P_rate_roll5,0.01831692695526872,0.023551337039563046,522
3,ALL,AST_TOV_roll10,0.002433568625645677,0.003744416952575202,522
3,ALL,AST_TOV_roll5,0.005333393425602395,0.00804488469235572,522
3,ALL,AST_roll10,0.0005776310226876191,0.0015902883584363438,522
3,ALL,AST_roll5,-0.004137000764583121,0.014196266383812287,522
3,ALL,DRB_roll10,-0.005890085025649583,0.00281252185882748,522
3,ALL,DRB_roll5,-0.002484987418553075,0.0012786809149235637,522
3,ALL,FGA_roll10,0.04807657099418332,0.02392969980881423,522
3,ALL,FGA_roll5,0.39273346987919416,0.09810190557323557,522
3,ALL,FTA_roll10,-0.012014776605017019,0.017055457040085417,522
3,ALL,FTA_roll5,0.17963084766320758,0.051129135480883034,522
3,ALL,FT_rate_roll10,0.010705488290144238,0.0071267684574677515,522
3,ALL,FT_rate_roll5,-0.012207468817277167,0.017980993693426477,522
3,ALL,MP_min_roll10,-0.011763693811180965,0.011929646242880974,522
3,ALL,MP_min_roll5,0.06526591437163258,0.023572891100033817,522
3,ALL,ORB_roll10,0.013990150895406473,0.008922955947476552,522
3,ALL,ORB_roll5,-0.002704730027238078,0.003915803120143637,522
3,ALL,PF_roll10,0.0015616354202320436,0.00853438001309829,522
3,ALL,PF_roll5,0.0011828326705858316,0.0030193457544813542,522
3,ALL,PIR_roll10,0.29683382422755394,0.05297009334068815,522
3,ALL,PIR_roll5,0.4484330753514385,0.06866336763517579,522
3,ALL,PTS_roll10,0.02805203853098224,0.037334365986974996,522
3,ALL,PTS_roll5,0.31884284523512446,0.061571681001861174,522
3,ALL,STL_roll10,0.014446968448443264,0.00899861268390164,522
3,ALL,STL_roll5,-0.0023537994281140227,0.020547588122293146,522
3,ALL,TOV_roll10,-0.0038208705724846583,0.010728751049868536,522
3,ALL,TOV_roll5,0.08573732894529193,0.0357860700795667,522
3,ALL,TRB_roll10,0.0,0.0,522
3,ALL,TRB_roll5,-0.006131349969207456,0.003990812565588779,522
3,ALL,TS_roll10,0.019464133526921577,0.012388246220180681,522
3,ALL,TS_roll5,0.033210099567456554,0.014861343546695577,522
3,ALL,eFG_roll10,0.008312421760209254,0.003187012367629758,522
3,ALL,eFG_roll5,0.0008762883760773832,0.009915313357851502,522
3,ALL,rest_days_player,0.005062722724045443,0.0034599538255695784,522
3,acb,competition,0.0,0.0,193
