model,fold,feature,coefficient,abs_coefficient,feature_scale
Lasso,2,eFG_roll5,0.41781019644011475,0.41781019644011475,standardized_numeric
Lasso,2,rest_days_player,-0.0932978907244811,0.0932978907244811,standardized_numeric
ElasticNet,2,competition_acb,-0.27418891558253167,0.27418891558253167,one_hot
ElasticNet,2,competition_eurocup,0.044178340083084314,0.044178340083084314,one_hot
ElasticNet,2,competition_euroleague,0.0,0.0,one_hot
ElasticNet,2,3P_rate_roll10,0.19016614232536413,0.19016614232536413,standardized_numeric
ElasticNet,2,3P_rate_roll5,-0.683091702688163,0.683091702688163,standardized_numeric
ElasticNet,2,AST_TOV_roll10,0.17266871391948133,0.17266871391948133,standardized_numeric
ElasticNet,2,AST_TOV_roll5,0.039007117159711585,0.039007117159711585,standardized_numeric
ElasticNet,2,AST_roll10,-0.059152766545232646,0.059152766545232646,standardized_numeric
ElasticNet,2,AST_roll5,-0.07394772006137856,0.07394772006137856,standardized_numeric
ElasticNet,2,DRB_roll10,-0.08669422552347923,0.08669422552347923,standardized_numeric
ElasticNet,2,DRB_roll5,-0.0,0.0,standardized_numeric
ElasticNet,2,FGA_roll10,0.32711174068631477,0.32711174068631477,standardized_numeric
ElasticNet,2,FGA_roll5,1.8571848610305477,1.8571848610305477,standardized_numeric
ElasticNet,2,FTA_roll10,-0.4321002665645955,0.4321002665645955,standardized_numeric
ElasticNet,2,FTA_roll5,1.1842031428002981,1.1842031428002981,standardized_numeric
ElasticNet,2,FT_rate_roll10,0.21706795386277844,0.21706795386277844,standardized_numeric
ElasticNet,2,FT_rate_roll5,-0.5329792579761341,0.5329792579761341,standardized_numeric
ElasticNet,2,MP_min_roll10,-0.16399852675902835,0.16399852675902835,standardized_numeric
ElasticNet,2,MP_min_roll5,0.6213198616927654,0.6213198616927654,standardized_numeric
ElasticNet,2,ORB_roll10,0.16512714559678407,0.16512714559678407,standardized_numeric
ElasticNet,2,ORB_roll5,-0.07808109910669261,0.07808109910669261,standardized_numeric
ElasticNet,2,PF_roll10,0.2645032294412461,0.2645032294412461,standardized_numeric
ElasticNet,2,PF_roll5,0.03785226398185729,0.03785226398185729,standardized_numeric
ElasticNet,2,PIR_roll10,1.175253358281855,1.175253358281855,standardized_numeric
ElasticNet,2,PIR_roll5,1.851950751463725,1.851950751463725,standardized_numeric
ElasticNet,2,PTS_roll10,-0.6812978692633995,0.6812978692633995,standardized_numeric
ElasticNet,2,PTS_roll5,-1.8866218769931775,1.8866218769931775,standardized_numeric
ElasticNet,2,STL_roll10,0.20051058032847782,0.20051058032847782,standardized_numeric
ElasticNet,2,STL_roll5,-0.46107468859301703,0.46107468859301703,standardized_numeric
ElasticNet,2,TOV_roll10,-0.2174693139527077,0.2174693139527077,standardized_numeric
ElasticNet,2,TOV_roll5,0.7052644265393311,0.7052644265393311,standardized_numeric
ElasticNet,2,TRB_roll10,-0.0725699133862898,0.0725699133862898,standardized_numeric
ElasticNet,2,TRB_roll5,-0.044879943539164704,0.044879943539164704,standardized_numeric
ElasticNet,2,TS_roll10,0.5208806627293011,0.5208806627293011,standardized_numeric
ElasticNet,2,TS_roll5,-0.5425168973072665,0.5425168973072665,standardized_numeric
ElasticNet,2,eFG_roll10,-0.09503238297588212,0.09503238297588212,standardized_numeric
ElasticNet,2,eFG_roll5,0.430555482125531,0.430555482125531,standardized_numeric
ElasticNet,2,rest_days_player,-0.09570606090835153,0.09570606090835153,standardized_numeric
Lasso,3,competition_acb,-0.25688688234237844,0.25688688234237844,one_hot
Lasso,3,competition_eurocup,0.05329777776053825,0.05329777776053825,one_hot
Lasso,3,competition_euroleague,0.0,0.0,one_hot
Lasso,3,3P_rate_roll10,0.16207917456561233,0.16207917456561233,standardized_numeric
Lasso,3,3P_rate_roll5,-0.5513855549072438,0.5513855549072438,standardized_numeric
Lasso,3,AST_TOV_roll10,0.05992497978092017,0.05992497978092017,standardized_numeric
Lasso,3,AST_TOV_roll5,0.11644095396863886,0.11644095396863886,standardized_numeric
Lasso,3,AST_roll10,0.06995759369550762,0.06995759369550762,standardized_numeric
Lasso,3,AST_roll5,-0.2814268486991394,0.2814268486991394,standardized_numeric
Lasso,3,DRB_roll10,-0.0,0.0,standardized_numeric
Lasso,3,DRB_roll5,-0.0,0.0,standardized_numeric
Lasso,3,FGA_roll10,0.07788758235251164,0.07788758235251164,standardized_numeric
Lasso,3,FGA_roll5,2.232065296133152,2.232065296133152,standardized_numeric
Lasso,3,FTA_roll10,-0.32104656235185564,0.32104656235185564,standardized_numeric
Lasso,3,FTA_roll5,1.0592698355211874,1.0592698355211874,standardized_numeric
Lasso,3,FT_rate_roll10,0.14445995401158288,0.14445995401158288,standardized_numeric
Lasso,3,FT_rate_roll5,-0.371781898715779,0.371781898715779,standardized_numeric
Lasso,3,MP_min_roll10,-0.1589132943062648,0.1589132943062648,standardized_numeric
Lasso,3,MP_min_roll5,0.49888930528203657,0.49888930528203657,standardized_numeric
Lasso,3,ORB_roll10,0.18283744306005514,0.18283744306005514,standardized_numeric
Lasso,3,ORB_roll5,-0.0606686380667184,0.0606686380667184,standardized_numeric
Lasso,3,PF_roll10,0.1460096368377793,0.1460096368377793,standardized_numeric
Lasso,3,PF_roll5,0.16208512727432756,0.16208512727432756,standardized_numeric
Lasso,3,PIR_roll10,0.9773105727745494,0.9773105727745494,standardized_numeric
Lasso,3,PIR_roll5,2.188697496629059,2.188697496629059,standardized_numeric
Lasso,3,PTS_roll10,-0.4263373055671283,0.4263373055671283,standardized_numeric
Lasso,3,PTS_roll5,-2.381279424900737,2.381279424900737,standardized_numeric
Lasso,3,STL_roll10,0.18968814542826123,0.18968814542826123,standardized_numeric
Lasso,3,STL_roll5,-0.42403577365122963,0.42403577365122963,standardized_numeric
Lasso,3,TOV_roll10,-0.16595371081324212,0.16595371081324212,standardized_numeric
Lasso,3,TOV_roll5,0.7353016494677388,0.7353016494677388,standardized_numeric
Lasso,3,TRB_roll10,0.0,0.0,standardized_numeric
Lasso,3,TRB_roll5,-0.21685173045803632,0.21685173045803632,standardized_numeric
Lasso,3,TS_roll10,0.5042680862136271,0.5042680862136271,standardized_numeric
Lasso,3,TS_roll5,-0.41339505491996625,0.41339505491996625,standardized_numeric
Lasso,3,eFG_roll10,-0.09732236788458176,0.09732236788458176,standardized_numeric
Lasso,3,eFG_roll5,0.34160713935039405,0.34160713935039405,standardized_numeric
Lasso,3,rest_days_player,-0.10479540581743498,0.10479540581743498,standardized_numeric
ElasticNet,3,competition_acb,-0.2579192986681441,0.2579192986681441,one_hot
ElasticNet,3,competition_eurocup,0.06056328667529785,0.06056328667529785,one_hot
ElasticNet,3,competition_euroleague,0.0,0.0,one_hot
ElasticNet,3,3P_rate_roll10,0.18743860578794008,0.18743860578794008,standardized_numeric
ElasticNet,3,3P_rate_roll5,-0.5773871533748088,0.5773871533748088,standardized_numeric
ElasticNet,3,AST_TOV_roll10,0.05365300111915556,0.05365300111915556,standardized_numeric
ElasticNet,3,AST_TOV_roll5,0.125888327263389,0.125888327263389,standardized_numeric
ElasticNet,3,AST_roll10,0.024722748807622597,0.024722748807622597,standardized_numeric
ElasticNet,3,AST_roll5,-0.22039249859976112,0.22039249859976112,standardized_numeric
ElasticNet,3,DRB_roll10,-0.047586910936457005,0.047586910936457005,standardized_numeric
ElasticNet,3,DRB_roll5,-0.02632974145649291,0.02632974145649291,standardized_numeric
ElasticNet,3,FGA_roll10,0.3557660763971531,0.3557660763971531,standardized_numeric
ElasticNet,3,FGA_roll5,1.9220806796224372,1.9220806796224372,standardized_numeric
ElasticNet,3,FTA_roll10,-0.3252288723768351,0.3252288723768351,standardized_numeric
ElasticNet,3,FTA_roll5,1.054221397335947,1.054221397335947,standardized_numeric
ElasticNet,3,FT_rate_roll10,0.1611032477513048,0.1611032477513048,standardized_numeric
ElasticNet,3,FT_rate_roll5,-0.3865114409306849,0.3865114409306849,standardized_numeric
ElasticNet,3,MP_min_roll10,-0.22263159988123907,0.22263159988123907,standardized_numeric
ElasticNet,3,MP_min_roll5,0.559878259858481,0.559878259858481,standardized_numeric
ElasticNet,3,ORB_roll10,0.16566941391141776,0.16566941391141776,standardized_numeric
ElasticNet,3,ORB_roll5,-0.08831783762579444,0.08831783762579444,standardized_numeric
ElasticNet,3,PF_roll10,0.1840516404670523,0.1840516404670523,standardized_numeric
ElasticNet,3,PF_roll5,0.11664083630239327,0.11664083630239327,standardized_numeric
ElasticNet,3,PIR_roll10,1.2016928596518122,1.2016928596518122,standardized_numeric
ElasticNet,3,PIR_roll5,1.8941242738271484,1.8941242738271484,standardized_numeric
ElasticNet,3,PTS_roll10,-0.8065740357307944,0.8065740357307944,standardized_numeric
ElasticNet,3,PTS_roll5,-1.911372095188421,1.911372095188421,standardized_numeric
ElasticNet,3,STL_roll10,0.1786120263317083,0.1786120263317083,standardized_numeric
ElasticNet,3,STL_roll5,-0.4066838787503936,0.4066838787503936,standardized_numeric
ElasticNet,3,TOV_roll10,-0.14994220698845012,0.14994220698845012,standardized_numeric
ElasticNet,3,TOV_roll5,0.7073908837270935,0.7073908837270935,standardized_numeric
ElasticNet,3,TRB_roll10,-0.0,0.0,standardized_numeric
ElasticNet,3,TRB_roll5,-0.08483698134095287,0.08483698134095287,standardized_numeric
ElasticNet,3,TS_roll10,0.5525005169703144,0.5525005169703144,standardized_numeric
ElasticNet,3,TS_roll5,-0.46225934264668606,0.46225934264668606,standardized_numeric
ElasticNet,3,eFG_roll10,-0.12011557296784672,0.12011557296784672,standardized_numeric
ElasticNet,3,eFG_roll5,0.35810566001436106,0.35810566001436106,standardized_numeric
ElasticNet,3,rest_days_player,-0.10726245128407641,0.10726245128407641,standardized_numeric
Lasso,4,competition_acb,-0.18888602201944787,0.18888602201944787,one_hot
Lasso,4,competition_eurocup,-0.0,0.0,one_hot
Lasso,4,competition_euroleague,0.004045145552125087,0.004045145552125087,one_hot
Lasso,4,3P_rate_roll10,0.1854905764650535,0.1854905764650535,standardized_numeric
Lasso,4,3P_rate_roll5,-0.49343818109453386,0.49343818109453386,standardized_numeric
Lasso,4,AST_TOV_roll10,0.07781659527480951,0.07781659527480951,standardized_numeric
Lasso,4,AST_TOV_roll5,0.1247651783978928,0.1247651783978928,standardized_numeric
Lasso,4,AST_roll10,-0.005333283053036623,0.005333283053036623,standardized_numeric
Lasso,4,AST_roll5,-0.28338876597865525,0.28338876597865525,standardized_numeric
Lasso,4,DRB_roll10,0.0,0.0,standardized_numeric
Lasso,4,DRB_roll5,-0.0,0.0,standardized_numeric
Lasso,4,FGA_roll10,-0.0,0.0,standardized_numeric
Lasso,4,FGA_roll5,2.277472558026334,2.277472558026334,standardized_numeric
Lasso,4,FTA_roll10,-0.3702855736180971,0.3702855736180971,standardized_numeric
Lasso,4,FTA_roll5,1.0847829338971493,1.0847829338971493,standardized_numeric
Lasso,4,FT_rate_roll10,0.1858275214190557,0.1858275214190557,standardized_numeric
Lasso,4,FT_rate_roll5,-0.3731997073311467,0.3731997073311467,standardized_numeric
Lasso,4,MP_min_roll10,-0.20823973908938756,0.20823973908938756,standardized_numeric
Lasso,4,MP_min_roll5,0.4882836974381997,0.4882836974381997,standardized_numeric
Lasso,4,ORB_roll10,0.13401794617028664,0.13401794617028664,standardized_numeric
Lasso,4,ORB_roll5,-0.03149972943593508,0.03149972943593508,standardized_numeric
Lasso,4,PF_roll10,0.0850294828523181,0.0850294828523181,standardized_numeric
Lasso,4,PF_roll5,0.21680464060935975,0.21680464060935975,standardized_numeric
Lasso,4,PIR_roll10,1.1727248486631188,1.1727248486631188,standardized_numeric
Lasso,4,PIR_roll5,2.21255781316424,2.21255781316424,standardized_numeric
Lasso,4,PTS_roll10,-0.3707652926029554,0.3707652926029554,standardized_numeric
Lasso,4,PTS_roll5,-2.5077888328345543,2.5077888328345543,standardized_numeric
Lasso,4,STL_roll10,0.22650764210710123,0.22650764210710123,standardized_numeric
Lasso,4,STL_roll5,-0.4503940320963852,0.4503940320963852,standardized_numeric
Lasso,4,TOV_roll10,-0.10706043182829476,0.10706043182829476,standardized_numeric
Lasso,4,TOV_roll5,0.7603928962130865,0.7603928962130865,standardized_numeric
Lasso,4,TRB_roll10,0.08729087774726359,0.08729087774726359,standardized_numeric
Lasso,4,TRB_roll5,-0.29836729586561467,0.29836729586561467,standardized_numeric
Lasso,4,TS_roll10,0.4488566173396324,0.4488566173396324,standardized_numeric
Lasso,4,TS_roll5,-0.4125207382177847,0.4125207382177847,standardized_numeric
Lasso,4,eFG_roll10,-0.15760197067849865,0.15760197067849865,standardized_numeric
Lasso,4,eFG_roll5,0.368678392308971,0.368678392308971,standardized_numeric
Lasso,4,rest_days_player,-0.12594591007204525,0.12594591007204525,standardized_numeric
ElasticNet,4,competition_acb,-0.1886541388018438,0.1886541388018438,one_hot
ElasticNet,4,competition_eurocup,0.0,0.0,one_hot
ElasticNet,4,competition_euroleague,0.013268780220930343,0.013268780220930343,one_hot
ElasticNet,4,3P_rate_roll10,0.20882113510403744,0.20882113510403744,standardized_numeric
ElasticNet,4,3P_rate_roll5,-0.5195893478235826,0.5195893478235826,standardized_numeric
ElasticNet,4,AST_TOV_roll10,0.08106673176148568,0.08106673176148568,standardized_numeric
ElasticNet,4,AST_TOV_roll5,0.13279659167090302,0.13279659167090302,standardized_numeric
ElasticNet,4,AST_roll10,-0.06572603884843126,0.06572603884843126,standardized_numeric
ElasticNet,4,AST_roll5,-0.20956128229211732,0.20956128229211732,standardized_numeric
ElasticNet,4,DRB_roll10,0.0,0.0,standardized_numeric
ElasticNet,4,DRB_roll5,-0.06669761643111284,0.06669761643111284,standardized_numeric
ElasticNet,4,FGA_roll10,0.21488190009707386,0.21488190009707386,standardized_numeric
ElasticNet,4,FGA_roll5,1.9867593929508836,1.9867593929508836,standardized_numeric
ElasticNet,4,FTA_roll10,-0.37410119467193825,0.37410119467193825,standardized_numeric
