model,seed,fold,competition,n_test,mae,rmse,r2
LSTM,123,3,euroleague,164,5.557066839170733,7.321285991875609,0.14729871972919106
LSTM,123,4,acb,190,5.993608811578947,7.5799762297960696,0.16476241647444234
LSTM,123,4,eurocup,166,5.98927563352771,7.820101853628623,0.10404654522248225
LSTM,123,4,euroleague,161,5.354504166645963,7.229167203668423,0.1863961215076695
LSTM,123,5,acb,340,5.2690785044999995,6.859092167373256,0.18906002986964376
LSTM,123,5,eurocup,163,5.478937138650307,7.153167042703904,0.2693865728551271
LSTM,123,5,euroleague,333,5.210422891141141,6.857967735055719,0.24225134993086472
LSTM,2026,1,acb,189,5.591118133794709,7.209554593030663,0.13344418757971188
LSTM,2026,1,eurocup,233,6.072232218549356,7.716232981877743,0.18621565617310243
LSTM,2026,1,euroleague,317,5.557609890870663,7.054938875402309,0.20820004764422206
LSTM,2026,2,acb,249,5.432145346991164,6.873247915152236,0.0821886015745672
LSTM,2026,2,eurocup,237,6.255381539957806,8.15497542462347,0.10095586652454702
LSTM,2026,2,euroleague,161,6.0010939547639754,7.715871823105885,0.16524400183789045
LSTM,2026,3,acb,193,5.385757914248704,6.745439320439692,0.13104614635324996
LSTM,2026,3,eurocup,165,5.896676883636363,8.017411494520385,0.21916946924365743
LSTM,2026,3,euroleague,164,5.578434814207316,7.30667485710655,0.15069880576688266
LSTM,2026,4,acb,190,5.989544406242106,7.536609588461388,0.17429221771617043
LSTM,2026,4,eurocup,166,6.023990447620482,7.86696919231584,0.09327512954603723
LSTM,2026,4,euroleague,161,5.3347625845795035,7.196294941548512,0.19377849133113223
LSTM,2026,5,acb,340,5.244022784117647,6.79721884418021,0.20362441889892924
LSTM,2026,5,eurocup,163,5.407684709938651,7.135044676198642,0.27308386443443633
LSTM,2026,5,euroleague,333,5.167386094294294,6.79165942923921,0.25683354880654685
Lasso,42,1,acb,189,5.639165429010765,7.126499639446748,0.15329484274663208
Lasso,42,1,eurocup,233,6.023574362920655,7.614704727823469,0.20748990835350611
Lasso,42,1,euroleague,317,5.718603412441058,7.053227368250734,0.20858417766285076
Lasso,42,2,acb,249,5.542008698934302,6.889532968782759,0.07783423670355927
Lasso,42,2,eurocup,237,6.102095266110007,7.878973142766569,0.16078171367279825
Lasso,42,2,euroleague,161,6.136954484213335,7.725492924898066,0.16316095022549992
Lasso,42,3,acb,193,5.0692226563821245,6.353091890883436,0.22919147752113767
Lasso,42,3,eurocup,165,6.336363308403835,8.057133581466628,0.21141308731516095
Lasso,42,3,euroleague,164,5.730093428282081,7.105665546829487,0.19678521325300646
Lasso,42,4,acb,190,5.997936999970503,7.441560831031952,0.19498789063904465
Lasso,42,4,eurocup,166,6.0390329674634655,7.7475772302190045,0.12058785831277963
Lasso,42,4,euroleague,161,5.300826593881483,6.971828935589298,0.24328922880229553
Lasso,42,5,acb,340,5.302501094045193,6.705713434432088,0.22492200041124
Lasso,42,5,eurocup,163,5.622478972629345,7.1008272706293365,0.2800392637094897
Lasso,42,5,euroleague,333,5.280363721295903,6.7755240028008314,0.26036054053220936
MLP_small_RLR_Huber,42,1,acb,189,5.59246402994709,7.356824223949621,0.09768032078919209
MLP_small_RLR_Huber,42,1,eurocup,233,6.097743307854078,7.8613655976536085,0.1553152493590686
MLP_small_RLR_Huber,42,1,euroleague,317,5.653795828138802,7.259327961335209,0.16165689784040704
MLP_small_RLR_Huber,42,2,acb,249,5.7391752834538154,7.3538946201484,-0.050664923075347534
MLP_small_RLR_Huber,42,2,eurocup,237,6.338518893544303,8.277251163602948,0.07379319953144448
MLP_small_RLR_Huber,42,2,euroleague,161,6.102597530931678,7.93925305662874,0.11621051693139728
MLP_small_RLR_Huber,42,3,acb,193,5.246843805025907,6.783121711616826,0.12131046630960096
MLP_small_RLR_Huber,42,3,eurocup,165,5.990749335454546,8.109390001993296,0.2011507866273179
MLP_small_RLR_Huber,42,3,euroleague,164,5.579510207743903,7.359180992506715,0.13844870567791123
MLP_small_RLR_Huber,42,4,acb,190,6.0323622882105274,7.597014549509563,0.16100329141375358
